縣市及鄉鎮市區,Capacity_High Risk,Capacity_Low Risk,Capacity_Medium Risk,Capacity_Safe,Count_High Risk,Count_Low Risk,Count_Medium Risk,Count_Safe,Total_Shelters,Total_Capacity,High_Risk_Percentage
高雄市內門區,520.0,440.0,610.0,0.0,3.0,4.0,6.0,0.0,13.0,1570.0,23.1
臺東縣關山鎮,350.0,0.0,50.0,1140.0,3.0,0.0,1.0,8.0,12.0,1540.0,25.0
宜蘭縣冬山鄉,304.0,271.0,165.0,1200.0,3.0,3.0,3.0,14.0,23.0,1940.0,13.0
臺東縣金峰鄉,200.0,100.0,300.0,200.0,2.0,1.0,3.0,2.0,8.0,800.0,25.0
宜蘭縣員山鄉,106.0,353.0,249.0,413.0,2.0,5.0,4.0,6.0,17.0,1121.0,11.8
苗栗縣銅鑼鄉,70.0,150.0,140.0,210.0,2.0,4.0,4.0,5.0,15.0,570.0,13.3
苗栗縣竹南鎮,900.0,6100.0,100.0,2400.0,2.0,4.0,1.0,6.0,13.0,9500.0,15.4
桃園市龍潭區,550.0,2950.0,2640.0,11140.0,2.0,6.0,10.0,20.0,38.0,17280.0,5.3
宜蘭縣大同鄉,208.0,180.0,90.0,265.0,2.0,2.0,1.0,3.0,8.0,743.0,25.0
苗栗縣頭份市,500.0,785.0,990.0,2215.0,2.0,6.0,8.0,15.0,31.0,4490.0,6.5
宜蘭縣宜蘭市,394.0,1035.0,685.0,3134.0,2.0,7.0,10.0,21.0,40.0,5248.0,5.0
臺中市北區,2100.0,1030.0,200.0,2480.0,2.0,4.0,1.0,3.0,10.0,5810.0,20.0
臺中市大里區,95.0,4345.0,5460.0,12600.0,2.0,11.0,11.0,18.0,42.0,22500.0,4.8
桃園市楊梅區,550.0,100.0,1270.0,5150.0,2.0,1.0,5.0,12.0,20.0,7070.0,10.0
新北市汐止區,1104.0,4335.0,10356.0,1546.0,2.0,5.0,14.0,3.0,24.0,17341.0,8.3
桃園市平鎮區,132.0,2234.0,1419.0,4356.0,2.0,14.0,8.0,26.0,50.0,8141.0,4.0
臺中市石岡區,200.0,60.0,130.0,370.0,2.0,1.0,3.0,5.0,11.0,760.0,18.2
嘉義縣竹崎鄉,100.0,1590.0,3230.0,2830.0,2.0,10.0,19.0,13.0,44.0,7750.0,4.5
嘉義縣東石鄉,286.0,1476.0,198.0,2842.0,2.0,6.0,2.0,13.0,23.0,4802.0,8.7
新北市貢寮區,528.0,529.0,2598.0,571.0,2.0,4.0,8.0,4.0,18.0,4226.0,11.1
高雄市杉林區,795.0,1667.0,725.0,260.0,2.0,8.0,5.0,3.0,18.0,3447.0,11.1
高雄市燕巢區,925.0,310.0,260.0,1420.0,2.0,2.0,2.0,7.0,13.0,2915.0,15.4
新北市鶯歌區,584.0,37.0,4417.0,4935.0,2.0,1.0,5.0,7.0,15.0,9973.0,13.3
高雄市甲仙區,580.0,790.0,871.0,80.0,2.0,5.0,3.0,1.0,11.0,2321.0,18.2
南投縣集集鎮,350.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.0,370.0,66.7
高雄市鳳山區,2180.0,6188.0,3488.0,26690.0,2.0,6.0,5.0,23.0,36.0,38546.0,5.6
南投縣名間鄉,100.0,40.0,390.0,580.0,2.0,1.0,9.0,14.0,26.0,1110.0,7.7
新竹縣峨眉鄉,185.0,615.0,3862.0,75.0,2.0,2.0,4.0,1.0,9.0,4737.0,22.2
臺中市太平區,467.0,5788.0,20884.0,15848.0,2.0,5.0,7.0,10.0,24.0,42987.0,8.3
宜蘭縣頭城鎮,134.0,473.0,1335.0,186.0,2.0,5.0,13.0,3.0,23.0,2128.0,8.7
臺中市豐原區,100.0,1300.0,360.0,7605.0,2.0,3.0,3.0,32.0,40.0,9365.0,5.0
臺北市北投區,285.0,1145.0,4544.0,562.0,2.0,7.0,9.0,9.0,27.0,6536.0,7.4
臺東縣東河鄉,390.0,360.0,111.0,485.0,2.0,2.0,1.0,5.0,10.0,1346.0,20.0
屏東縣牡丹鄉,350.0,0.0,700.0,554.0,2.0,0.0,2.0,2.0,6.0,1604.0,33.3
新竹縣新豐鄉,140.0,1875.0,1075.0,310.0,2.0,3.0,5.0,4.0,14.0,3400.0,14.3
花蓮縣吉安鄉,87.0,61.0,2137.0,1214.0,2.0,1.0,4.0,15.0,22.0,3499.0,9.1
臺南市鹽水區,640.0,230.0,770.0,1280.0,2.0,2.0,1.0,5.0,10.0,2920.0,20.0
臺南市白河區,392.0,810.0,1033.0,996.0,2.0,5.0,1.0,7.0,15.0,3231.0,13.3
花蓮縣壽豐鄉,91.0,72.0,296.0,363.0,2.0,2.0,7.0,9.0,20.0,822.0,10.0
臺南市東山區,315.0,72.0,212.0,2210.0,2.0,1.0,4.0,5.0,12.0,2809.0,16.7
臺南市南化區,190.0,0.0,470.0,190.0,2.0,0.0,5.0,2.0,9.0,850.0,22.2
屏東縣南州鄉,145.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,145.0,100.0
臺南市官田區,610.0,70.0,400.0,4660.0,2.0,1.0,1.0,8.0,12.0,5740.0,16.7
新竹縣新埔鎮,1810.0,1400.0,3675.0,910.0,2.0,1.0,6.0,3.0,12.0,7795.0,16.7
臺中市龍井區,130.0,340.0,280.0,935.0,2.0,4.0,4.0,7.0,17.0,1685.0,11.8
臺中市霧峰區,435.0,1145.0,6426.0,5936.0,2.0,3.0,6.0,8.0,19.0,13942.0,10.5
高雄市六龜區,1000.0,2746.0,564.0,604.0,1.0,9.0,4.0,5.0,19.0,4914.0,5.3
高雄市旗山區,30.0,50.0,760.0,930.0,1.0,1.0,2.0,14.0,18.0,1770.0,5.6
桃園市八德區,136.0,498.0,709.0,5964.0,1.0,7.0,5.0,61.0,74.0,7307.0,1.4
臺南市西港區,850.0,0.0,0.0,2950.0,1.0,0.0,0.0,11.0,12.0,3800.0,8.3
臺中市和平區,130.0,120.0,170.0,1200.0,1.0,1.0,2.0,1.0,5.0,1620.0,20.0
臺南市龍崎區,40.0,80.0,30.0,485.0,1.0,1.0,1.0,5.0,8.0,635.0,12.5
臺東縣延平鄉,30.0,0.0,130.0,30.0,1.0,0.0,3.0,1.0,5.0,190.0,20.0
臺東縣成功鎮,50.0,370.0,570.0,100.0,1.0,5.0,7.0,3.0,16.0,1090.0,6.2
新竹縣芎林鄉,20.0,0.0,220.0,250.0,1.0,0.0,4.0,7.0,12.0,490.0,8.3
新竹縣竹東鎮,805.0,1614.0,2717.0,1493.0,1.0,2.0,5.0,3.0,11.0,6629.0,9.1
新竹縣湖口鄉,40.0,760.0,912.0,890.0,1.0,4.0,4.0,10.0,19.0,2602.0,5.3
臺中市新社區,36.0,50.0,180.0,1600.0,1.0,1.0,2.0,10.0,14.0,1866.0,7.1
苗栗縣三灣鄉,70.0,50.0,640.0,50.0,1.0,1.0,6.0,1.0,9.0,810.0,11.1
臺東縣長濱鄉,140.0,1010.0,280.0,890.0,1.0,9.0,3.0,9.0,22.0,2320.0,4.5
高雄市大樹區,500.0,3145.0,3566.0,611.0,1.0,4.0,4.0,4.0,13.0,7822.0,7.7
臺北市中山區,30.0,609.0,504.0,4187.0,1.0,5.0,4.0,13.0,23.0,5330.0,4.3
花蓮縣豐濱鄉,0.0,0.0,0.0,200.0,1.0,0.0,3.0,3.0,7.0,200.0,14.3
臺東縣綠島鄉,200.0,50.0,230.0,590.0,1.0,1.0,2.0,4.0,8.0,1070.0,12.5
