district,shelter_count,capacity,high_risk_count,geometry,safe_capacity,capacity_loss_ratio
汐萬路,1,1307,1,POINT (121.645595 25.089404),0.0,100.0
汕頭3,1,82,1,POINT (121.366375 25.135255),0.0,100.0
海興路,1,73,1,POINT (121.631354 25.2405),0.0,100.0
深澳路,1,113,1,POINT (121.817974 25.129623),0.0,100.0
渡船頭,1,50,1,POINT (121.4344 25.1589),0.0,100.0
溫泉路,1,500,1,POINT (121.649304 25.231103),0.0,100.0
烏來街,1,30,1,POINT (121.548453 24.883684),0.0,100.0
獅頭路,1,475,1,POINT (121.694414 25.177791),0.0,100.0
環河街,1,1067,1,POINT (121.629106 25.058956),0.0,100.0
真理街,2,2044,2,POINT (121.4374 25.174),0.0,100.0
石2,1,10,1,POINT (121.745228 24.904686),0.0,100.0
福一街,1,86,1,POINT (121.6953 25.0834),0.0,100.0
福五街,1,191,1,POINT (121.6987 25.0837),0.0,100.0
福山里,1,305,1,POINT (121.548453 24.883684),0.0,100.0
協和路,1,50,1,POINT (121.7345 25.1573),0.0,100.0
龜吼里,1,269,1,POINT (121.6841 25.1978),0.0,100.0
內湖路,1,245,1,POINT (121.5754 25.0797),0.0,100.0
仁一路,1,54,1,POINT (121.7544 25.1275),0.0,100.0
中正東,2,773,2,POINT (121.4602 25.1475),0.0,100.0
光環路,1,416,1,POINT (121.4828 25.0168),0.0,100.0
仁三路,1,30,1,POINT (121.7445 25.1274),0.0,100.0
健民街,1,50,1,POINT (121.7376 25.1423),0.0,100.0
下罟子,1,100,1,POINT (121.3883 25.1257),0.0,100.0
六股林,1,75,1,POINT (121.602476 25.218034),0.0,100.0
中和里,1,915,1,POINT (121.4847 25.2241),0.0,100.0
信福路,1,30,1,POINT (121.548453 24.883684),0.0,100.0
中港路,1,75,1,POINT (121.455157 25.041825),0.0,100.0
仁安街,1,76,1,POINT (121.747111 25.147188),0.0,100.0
八堵路,1,10,1,POINT (121.7361 25.1106),0.0,100.0
4鄰內,1,62,1,POINT (121.592343 25.254077),0.0,100.0
仁和路,1,125,1,POINT (121.92262 25.051427),0.0,100.0
中正一,1,207,1,POINT (121.3536 24.9572),0.0,100.0
臺北市大安區,4,47576,2,POINT (121.5429 25.0124),110.0,99.76879098705228
民族路,3,1620,2,POINT (121.4769 25.0853),34.0,97.90123456790123
臺北市大同區,4,2358,3,POINT (121.5077 25.0498),50.0,97.87955894826123
延平街,3,565,2,POINT (121.9246 25.0549),12.0,97.87610619469027
實踐路,2,1058,1,POINT (121.4664 25.005),40.0,96.21928166351607
金山區,8,26892,5,POINT (121.6029 25.2189),2114.0,92.13892607466904
民權路,2,905,1,POINT (121.3729 25.0827),86.0,90.49723756906077
雞母嶺,2,409,1,POINT (121.533012 25.042385),40.0,90.2200488997555
長興街,2,896,1,POINT (121.670529 25.079073),89.0,90.06696428571429
復興路,6,1983,3,POINT (121.3693 24.9391),210.0,89.40998487140696
大同街,2,506,1,POINT (121.417421 24.981493),56.0,88.93280632411067
學府路,5,4559,3,POINT (121.45038 24.983308),658.0,85.56701030927834
萬里里,3,1325,2,POINT (121.689132 25.176187),214.0,83.84905660377359
中山一,5,941,1,POINT (121.469 25.0767),157.0,83.31562167906482
新豐街,2,107,1,POINT (121.7852 25.1356),23.0,78.50467289719626
瑞芳區,12,5300,6,POINT (121.8296 25.0889),1251.0,76.39622641509433
興福寮,2,200,1,POINT (121.48835 25.163997),50.0,75.0
北新路,3,2704,1,POINT (121.4476 25.179),699.0,74.14940828402366
柑園街,2,1705,1,POINT (121.384115 24.95474),467.0,72.6099706744868
仁愛路,7,9215,4,POINT (121.354434 24.955861),3286.0,64.3407487791644
石門區,5,2169,3,POINT (121.5923 25.2693),983.0,54.679575841401565
大同路,6,5703,2,POINT (121.3728 24.9266),2644.0,53.63843591092407
暖暖街,2,124,1,POINT (121.7354 25.0971),60.0,51.61290322580645
金城路,3,1174,1,POINT (121.442873 24.972533),577.0,50.851788756388416
源遠路,4,706,3,POINT (121.7495 25.0961),347.0,50.849858356940516
公園路,5,4394,2,POINT (120.913 22.4797),2183.0,50.31861629494766
新北區,5,2351,1,POINT (121.5036 25.2564),1169.0,50.2764780944279
